cd_obj_type_id,cd_obj_type_guid,cd_obj_type_name,doc_id
1,7ae902cd-5bc5-493b-a739-125f10ca0268,app_directory,NULL
2,43bb9b8c-3ad5-4c6a-89bf-869a86218529,app_file,NULL
3,8b4cf8de-1ffc-4575-9e73-4ccf45a7756b,module,NULL
4,dd950bb0-9848-496d-82bc-90aaf0e0c523,widget,NULL
5,f028f009-1a2d-40d4-b284-645c855ad04c,model,NULL
6,cbbd698d-34a9-4982-a75a-cfe7797c1d00,controller,NULL
7,de0a8d93-59a5-47d6-b808-603b325d5e62,widget_control,NULL
8,55ffe474-f46b-452b-9a13-01c258995cdb,action,NULL
9,a237cc2b-e895-4596-a963-9b6e74d0f7b2,user,NULL
10,48b3613b-4e86-4087-b392-90dd2b46b1e0,group,NULL
11,2a3d0aa2-a4c3-41c4-9c5c-063856ab12a0,general_class,NULL
12,ad0535f2-8296-4cab-9dd8-16fa2c72b553,construct,NULL
13,05cc01ba-af88-4208-9056-45bfe9cb9445,init,NULL
14,903b5530-f525-4d97-8e64-46f8a383f36b,get,NULL
15,3841c9bd-251d-4204-8a19-e6bd8598e66e,set,NULL
16,8318af62-5401-48ba-a5a2-ea6598c20c34,general_method,NULL
17,12401613-4e5a-4f9c-9a3d-67b7f301d445,group_roots,NULL
18,f5df4494-5cc9-4463-8e8e-c5861703280e,guig_actions,NULL
19,574c73a6-7e5b-40fe-aa89-e52ce1640f42,menu_item,NULL
20,6793bb0a-41ea-4340-95a8-deb4065c1041,app_folder,NULL
21,97251589-1a9b-4bcd-9592-2cdec69fa71e,module_folder,NULL
22,9ff3c523-3646-4513-a37a-6f3c878ef9f4,controller_field,NULL
23,542c898e-9d6b-4a2d-b786-7435050ca0f0,module_db_table,NULL
24,423019b8-a9f5-4403-a337-a130c9b22721,controller_db_table,NULL
25,b9b1e544-31b6-4efd-b622-0e1a59b1b388,field,NULL
26,04fcc960-7b4f-4095-a869-e5d8b8a052da,model_class,NULL
27,ef72b375-096c-442a-bbcf-019279ed6c38,controller_class,NULL
28,4b9e821b-35b6-4172-a7d6-bb3985c970bd,entry_class,NULL
29,4c29daae-5284-11e7-b64c-1fe82d2b500e,menu_item.discard,NULL
30,33475C56-8B08-2029-021B-CAE469EBBB03,general_class,NULL
33,d6507c5d-a7ca-41fb-ad5f-dc5ceba46489,app,NULL
34,cb35a1da-51b5-41a6-a147-4798de7b3b38,package,NULL
35,5ab9a944-1014-4664-ad96-8ceb737d1857,descriptor,NULL
36,b9d7115c-938e-4a17-a31e-777df9499cf1,CdApp,21263
37,158d7061-ca04-4034-af0e-03c4f54a9bc1,Base,21264
38,800ebbfd-876e-4326-85b7-a6f3b330f3dc,CdController,21265
39,809a6e31-9fb1-4874-b61a-38cf2708a3bb,CdModule,21266
41,34e2af54-4f99-424c-9619-60583e2c1628,CdModuleType,21277
42,c8d59dcb-a8bb-45f1-a3c2-e3acade7a190,CdService,21279
43,f6c68b61-4eb0-410b-ac83-4b8fa6cd01f8,CiCd,21280
44,1de37724-b0ce-4e68-9d9b-e167beb8f41f,ContainerManager,21281
45,e4558132-41ab-46bb-a8e5-6087cd6106e7,ContainerManagerType,21282
46,acd14b45-1fb7-42c3-8b1a-2f798bad8669,Container,21283
47,f57e9251-fa5d-4dfc-98f2-85f987ae5fd3,DataStore,21285
48,44452afc-887d-44ea-8d25-acbe57ebccad,DataStoreType,21286
49,15738c71-36a8-447f-ac05-d4da2feb5d2d,DataStoreSchema,21287
50,5e459cbd-09a2-4a57-b432-65aa56ea266d,Replica,21288
51,df58dfd0-819f-43a8-a16e-58ebe8eea27a,Dependency,21289
52,faa3dd58-2ba2-455d-a6f8-09b17bc2cd9b,DependencyCategory,21290
53,697924f7-dd2a-492d-bd05-891a2a71ebc9,DependencyType,21291
54,523ea899-f6c6-468b-9115-910b0af46696,DependencySource,21292
55,91d49e29-3856-477b-a70c-8d2fb7aaaf2d,DependencyScope,21293
56,ec373003-8fc0-41ea-af94-550f5ac54aca,Resolution,21294
57,ab542edf-a1ec-40f3-8d2a-7a610b02b394,Usage,21295
58,2499a594-238c-4de7-9e4e-00b2518073f8,DependencyConfig,21296
59,a5e922ff-d443-41c3-8306-37e3a5077b21,DependencyLifecycle,21298
60,8e398b82-f500-447a-8680-6cb8ff80d90b,DependencyConflict,21299
61,8a4da2ff-c327-4d00-a297-78730d0deb5e,DependencyMetadata,21300
62,975278b6-caec-44ad-8571-83407eb527cd,Type,21301
63,7346e242-38c2-4347-854c-336306e0d62e,CdDescriptors,21302
64,b90a941a-8f6c-4b41-a096-5f97f3f3fb27,Function,21304
65,02ab633e-4d14-4023-8094-27d2a68e3d24,BaseFunction,21305
66,5eebc053-10fd-47b9-a356-d22af51a35ab,Scope,21306
67,4013a31c-cd82-44ae-9034-cdc48157af8e,Parameter,21307
68,54c200e4-a085-43b3-881d-1bb0e951703e,Output,21308
69,47080647-e3e0-447f-9b3e-e5a93be89050,TypeInfo,21309
70,6c252d33-5a64-43c1-a8ad-41c4099e7496,Behavior,21310
71,5effd7c3-2539-4c10-8aa7-b5e0f8183d11,Annotations,21311
72,6536d093-55b0-47c2-9bec-4e2994af97a5,ApiInfo,21312
73,1ec1803c-0b02-44ab-a507-498ef423bd3b,Documentation,21313
74,e0cd1045-8e2b-42fd-be52-b2900175cd46,Miscellaneous,21314
75,a83d2cfa-92b9-422d-bc19-fdf4abaf61fd,Language,21315
76,33318e1a-5bf1-45f6-995b-b8a888f31936,License,21316
77,c99e6e05-fe92-49ec-a30f-17267e34f451,CdModel,21317
78,52fe820c-bef1-483d-95d1-99a21f7213c2,Validation,21318
79,ea9ea062-9b28-40ba-9394-5fec7bd7e0da,Relationship,21319
80,b73e3d25-304c-4317-bf30-85a584a72a9c,OrmMapping,21320
81,74112b34-203d-4b28-8777-9f86a3dd1c73,OrmOptions,21321
82,801fe779-417c-4c8a-a168-583697e19dc2,RuntimeEnvironment,21322
83,7ec87af7-ba57-4530-a352-0955a63f6c54,WebService,21323
84,bd251c79-a298-47c5-a09a-556b217f6e02,Scaling,21324
85,d77e72b7-dc01-4be9-b113-9215bd02cdf0,WebserviceProvision,21325
86,4aed5025-597a-49dc-93f9-8b8377e1abb9,Script,21326
87,0f8e8183-77b1-4cb1-a871-813b21a2eb84,Vendor,21327
88,a5757953-7a92-433b-bb22-1e7ede1fb958,CliControls,21328
89,f143d54a-4071-46dc-8e8a-a7e9273450c1,Security,21329
90,9c3b61db-b3f3-4320-97c3-4aa91f2ddfc1,ServiceProvider,21330
91,a2125745-917d-4ebe-b615-3347a1564460,Service,21331
92,f422bd5d-1263-4f88-9a9a-8111fc85e25e,TestingFramework,21332
93,183fbdaf-b582-466a-ada9-5381d0c66dd5,VersionControl,21333
94,288a6259-7228-4f83-bb9c-26585da2dccd,Repo,21334
95,aca39b62-f437-42a7-a0b9-d12286c0ac99,Developer,21335
96,c980e7eb-f32f-4e3b-a169-5c4ea2c204f5,Community,21336
97,f67b0644-43a6-4bda-9d46-59c4be70263f,Contributor,21337
98,16dbdd41-d055-4c28-8246-7d66610dead0,Workstation,21338
99,0454f6bb-1a08-444b-bd1c-29d542502c70,OperatingSystem,21339
100,960796ba-0023-4465-ad3f-4284272319a8,Condition,21340
101,6eff96c4-3681-4bc9-b192-7b38e40a52d2,Permission,21342
102,38a16293-9751-4f4e-bed6-49bc79a9beb0,AccessControl,21343
103,5aca9623-b028-4bf5-908f-310a7240c9cc,Audit,21344
104,1eabd023-449e-400a-a5d3-5a8a93862668,Role,21345
105,1a58d064-407d-41ff-b77e-1a7909cdffb3,FileStore,21346
106,0508f4c6-c1f8-485d-9820-14342f2f1c4c,ContainerManagementFeatures,21347
107,2735496e-8bf9-4c53-802d-ad9cf1ea9879,PlatformCompatibility,21348
108,3bb93ad7-8eda-46cd-9a27-af585254c4a2,DevelopmentEnvironment,21349
109,8563d190-dea9-4557-8c32-b40920fee60f,OperatingSystemPermission,21350
110,05344eb3-c0d9-46c0-b244-34b97ade2d51,AppFrontend,21354
111,04060dfa-fc94-4e3a-98bc-9fbd739deb87,AppApi,21356
112,a317a88b-ca42-4ab9-bd64-2ecd3b4d9fd0,AppPushServer,21358
113,58378bc9-7ef5-4237-bf6a-d2295b60584d,AppCli,21360
114,c455fe74-e4d2-4832-864b-a52971735c4a,AppPwa,21362
115,ba671872-df2a-4851-ab5f-fce192651692,AppDesktopPwa,21364
116,f415a0e6-dd8e-483f-8659-ddbf2e942597,AppMobile,21366
117,417d6a54-d213-4cde-ad31-956f3398a360,AppMobileHybrid,21368
118,f5c85a3d-9e72-4add-95fe-d7a68cfc74a4,AppMobileNative,21370
119,2c0b24e9-cf27-47bf-a3a4-8d4808c27f9a,AppDesktop,21372
120,98304e59-e72a-46cd-be26-f8607072bc41,AppIot,21374
121,52697a47-98a8-4373-9582-a47985b62c4f,AppGame,21376
122,96f5644e-1678-46be-8146-462855cf396e,AppEmbedded,21378
123,8a579f33-389f-4f83-899d-3bbf55568236,AppRobotics,21380
124,9d869016-5f05-4c68-80e9-92145869db81,AppPlugin,21382
125,25d4d97f-ce5d-4aff-8aa5-b3585e7d4275,AppMicroservice,21384